| kind | obj                  | ord | detail                                                 | extra                                                                                            |
| col  | payment_transactions | 15  | provider_event_id                                      | text                                                                                             |
| col  | payment_transactions | 16  | payment_method                                         | text                                                                                             |
| col  | payment_transactions | 17  | failure_reason                                         | text                                                                                             |
| col  | payment_transactions | 18  | reversed_at                                            | timestamp with time zone                                                                         |
| col  | payment_transactions | 19  | reversed_by                                            | uuid                                                                                             |
| con  | payment_transactions | 0   | chk_amount_positive                                    | CHECK ((amount > (0)::numeric))                                                                  |
| con  | payment_transactions | 0   | payment_transactions_amount_check                      | CHECK ((amount >= (0)::numeric))                                                                 |
| con  | payment_transactions | 0   | payment_transactions_entry_category_check              | CHECK ((entry_category = ANY (ARRAY['TUITION'::text, 'TECH_LEVY'::text, 'PLATFORM_FEE'::text]))) |
| con  | payment_transactions | 0   | payment_transactions_pkey                              | PRIMARY KEY (id)                                                                                 |
| con  | payment_transactions | 0   | payment_transactions_reversed_by_fkey                  | FOREIGN KEY (reversed_by) REFERENCES users(id) ON DELETE SET NULL                                |
| con  | payment_transactions | 0   | payment_transactions_school_id_fkey                    | FOREIGN KEY (school_id) REFERENCES schools(id) ON DELETE CASCADE                                 |
| con  | payment_transactions | 0   | payment_transactions_settlement_status_check           | CHECK ((settlement_status = ANY (ARRAY['PENDING'::text, 'SUCCESS'::text, 'FAILED'::text])))      |
| con  | payment_transactions | 0   | payment_transactions_student_id_fkey                   | FOREIGN KEY (student_id) REFERENCES students(id) ON DELETE RESTRICT                              |
| col  | roles                | 1   | id                                                     | uuid                                                                                             |
| col  | roles                | 2   | organization_id                                        | uuid                                                                                             |
| col  | roles                | 3   | name                                                   | text                                                                                             |
| col  | roles                | 4   | name                                                   | text                                                                                             |
| col  | roles                | 4   | name                                                   | text                                                                                             |
| col  | roles                | 4   | name                                                   | text                                                                                             |
| col  | roles                | 4   | name                                                   | text                                                                                             |
| col  | roles                | 4   | name                                                   | text                                                                                             |
| col  | roles                | 5   | description                                            | text                                                                                             |
| col  | roles                | 6   | system_role                                            | text                                                                                             |
| col  | roles                | 7   | is_system_role                                         | boolean                                                                                          |
| col  | roles                | 8   | created_at                                             | timestamp with time zone                                                                         |
| col  | roles                | 9   | updated_at                                             | timestamp with time zone                                                                         |
| con  | roles                | 0   | roles_organization_id_fkey                             | FOREIGN KEY (organization_id) REFERENCES organizations(id) ON DELETE CASCADE                     |
| con  | roles                | 0   | roles_pkey                                             | PRIMARY KEY (id)                                                                                 |
| col  | school_members       | 1   | id                                                     | uuid                                                                                             |
| col  | school_members       | 2   | user_id                                                | uuid                                                                                             |
| col  | school_members       | 3   | school_id                                              | uuid                                                                                             |
| col  | school_members       | 3   | school_id                                              | uuid                                                                                             |
| col  | school_members       | 3   | school_id                                              | uuid                                                                                             |
| col  | school_members       | 3   | school_id                                              | uuid                                                                                             |
| col  | school_members       | 4   | role_id                                                | uuid                                                                                             |
| col  | school_members       | 5   | invited_by                                             | uuid                                                                                             |
| col  | school_members       | 6   | joined_at                                              | timestamp with time zone                                                                         |
| col  | school_members       | 7   | left_at                                                | timestamp with time zone                                                                         |
